Attr,Top 3 Highest,Top 3 Lowest
Save%,"Top 1: James Shea(Team: Luton Town)
Top 2: Arijanet Muric(Team: Burnley)
Top 3: Mark Travers(Team: Bournemouth)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
W,"Top 1: Ederson(Team: Manchester City)
Top 2: David Raya(Team: Arsenal)
Top 3: Guglielmo Vicario(Team: Tottenham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
D,"Top 1: Jordan Pickford(Team: Everton)
Top 2: Neto(Team: Bournemouth)
Top 3: Mark Flekken(Team: Brentford)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
L,"Top 1: Thomas Kaminski(Team: Luton Town)
Top 2: Wes Foderingham(Team: Sheffield Utd)
Top 3: James Trafford(Team: Burnley)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
CS,"Top 1: David Raya(Team: Arsenal)
Top 2: Jordan Pickford(Team: Everton)
Top 3: Bernd Leno(Team: Fulham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
CS%,"Top 1: Stefan Ortega(Team: Manchester City)
Top 2: Mark Travers(Team: Bournemouth)
Top 3: David Raya(Team: Arsenal)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
PKatt,"Top 1: José Sá(Team: Wolves)
Top 2: Jordan Pickford(Team: Everton)
Top 3: Bernd Leno(Team: Fulham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
PKA,"Top 1: José Sá(Team: Wolves)
Top 2: Jordan Pickford(Team: Everton)
Top 3: Bernd Leno(Team: Fulham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
PKsv,"Top 1: Alphonse Areola(Team: West Ham)
Top 2: Robert Sánchez(Team: Chelsea)
Top 3: David Raya(Team: Arsenal)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
PKm,"Top 1: Đorđe Petrović(Team: Chelsea)
Top 2: Ivo Grbić(Team: Sheffield Utd)
Top 3: Wes Foderingham(Team: Sheffield Utd)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
GK_Save%,"Top 1: Robin Olsen(Team: Aston Villa)
Top 2: Arijanet Muric(Team: Burnley)
Top 3: Robert Sánchez(Team: Chelsea)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
Gls,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Cole Palmer(Team: Chelsea)
Top 3: Alexander Isak(Team: Newcastle Utd)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
